
=== meat_dish (103) ===
  vegetable_dish-红烧冬瓜 | 红烧冬瓜 | ★★★ | 冬瓜,姜,生抽,蚝油,老抽,鸡精,料酒,香葱,水淀粉
  vegetable_dish-红烧茄子 | 红烧茄子 | ★★★★ | 青茄子,青辣椒,西红柿,洋葱,大葱,大蒜,面粉,淀粉,鸡蛋,油,酱油
  vegetable_dish-脆皮豆腐 | 脆皮豆腐 | ★★★ | 鸡蛋,生抽,蚝油,老抽,白糖,玉米淀粉,清水,老豆腐,食用油
  vegetable_dish-芹菜拌茶树菇 | 芹菜拌茶树菇 | ★★ | 芹菜苗,茶树菇,食盐,香油,耗油,味极鲜
  vegetable_dish-茄子炖土豆 | 茄子炖土豆 | ★★★ | 茄子,土豆,辣椒,蒜,肉
  vegetable_dish-莴笋叶煎饼 | 莴笋叶煎饼 | ★★ | 莴笋叶,鸡蛋,生粉
  vegetable_dish-菠菜炒鸡蛋 | 菠菜炒鸡蛋 | ★★ | 菠菜,鸡蛋
  vegetable_dish-葱煎豆腐 | 葱煎豆腐 | ★★★ | 豆腐,葱,辣椒,鸡精
  vegetable_dish-蒜蓉空心菜 | 蒜蓉空心菜 | ★★ | 空心菜,蒜
  vegetable_dish-蒜蓉西兰花 | 蒜蓉西兰花 | ★★ | 西兰花,大蒜,生抽,蚝油
  vegetable_dish-蒲烧茄子 | 蒲烧茄子 | ★★★ | 茄子,蒲烧汁,生粉
  vegetable_dish-蒸箱鸡蛋羹 | 蒸箱鸡蛋羹 | ★★★ | 鸡蛋,纯净水
  vegetable_dish-虎皮青椒 | 虎皮青椒 | ★★★ | 青椒,大蒜
  vegetable_dish-蚝油三鲜菇 | 蚝油三鲜菇 | ★★★ | 蟹味菇,白玉菇,香菇,西蓝花,姜,小米辣,菜椒,生抽,蚝油,鸡精,水淀粉,料酒,葱花
  vegetable_dish-蚝油生菜 | 蚝油生菜 | ★★ | 生菜,食用油,生抽,蚝油,白糖,蒜泥
  vegetable_dish-西红柿炒鸡蛋 | 西红柿炒鸡蛋 | ★★ | 西红柿,鸡蛋
  vegetable_dish-西红柿豆腐汤羹 | 西红柿豆腐汤羹 | ★★ | 西红柿,鸡蛋,豆腐,姜片,水淀粉,鸡精,香葱
  vegetable_dish-西葫芦炒鸡蛋 | 西葫芦炒鸡蛋 | ★★ | 西红柿,西葫芦,鸡蛋
  vegetable_dish-话梅煮毛豆 | 话梅煮毛豆 | ★★ | 毛豆,话梅
  vegetable_dish-酸辣土豆丝 | 酸辣土豆丝 | ★★ | 土豆,葱,大蒜,干辣椒,青红椒,生抽,陈醋
  vegetable_dish-金针菇日本豆腐煲 | 金针菇日本豆腐煲 | ★★ | 豆腐,蒜,生抽,蚝油,老抽,小米椒,金针菇
  vegetable_dish-金钱蛋 | 金钱蛋 | ★★★ | 鸡蛋,蒜,线椒,小米辣,豆瓣酱,生抽,蚝油
  vegetable_dish-陕北熬豆角 | 陕北熬豆角 | ★★ | 葱,蒜,姜,豆角,土豆,西红柿,辣椒,香菜
  vegetable_dish-雷椒皮蛋 | 雷椒皮蛋 | ★★ | 青椒,葱,蒜,皮蛋,小米辣,生抽,陈醋,白糖,香油
  vegetable_dish-鸡蛋火腿炒黄瓜 | 鸡蛋火腿炒黄瓜 | ★★ | 黄瓜,火腿,鸡蛋,红尖椒
  vegetable_dish-鸡蛋羹 | 鸡蛋羹 | ★★ | 鸡蛋,白醋,纯净水,香油,生抽
  vegetable_dish-鸡蛋花 | 鸡蛋花 | ★ | 鸡蛋

=== aquatic (27) ===
  aquatic-咖喱炒蟹 | 咖喱炒蟹 | ★★★★ | 肉蟹,生粉,洋葱,大蒜,咖喱块,椰浆,蛋清
  aquatic-响油鳝丝 | 响油鳝丝 | ★★★ | 鳝鱼,蒜末,姜末,葱花,猪油
  aquatic-小龙虾 | 小龙虾 | ★★★★ | 小龙虾,葱,姜,蒜,香叶,八角,桂皮,青花椒,花椒,子弹头辣椒,郫县豆瓣,黄豆酱,啤酒,生抽
  aquatic-干煎阿根廷红虾 | 干煎阿根廷红虾 | ★★★ | 阿根廷红虾,生姜,洋葱,香菜,大蒜,橄榄油,白葡萄酒,生抽,柠檬
  aquatic-微波葱姜黑鳕鱼 | 微波葱姜黑鳕鱼 | ★★★ | 鱼片,葱,姜,料酒,酱油,芝麻油,花生油
  aquatic-水煮鱼 | 水煮鱼 | ★★★★ | 巴沙鱼,豆瓣酱,藤椒油,花菜,生菜,大蒜,豆豉
  aquatic-油焖大虾 | 油焖大虾 | ★★★★ | 虾,花椒,葱,姜,黄酒,冰糖
  aquatic-清蒸生蚝 | 清蒸生蚝 | ★★★ | 生蚝,姜丝,蒜末,酱油
  aquatic-清蒸鲈鱼 | 清蒸鲈鱼 | ★★★ | 鲈鱼,姜,香葱,蒸鱼豉油
  aquatic-烤鱼 | 烤鱼 | ★★★★ | 草鱼,大葱,大蒜,八角,香叶,桂皮,干辣椒,灯笼椒,芹菜,豆芽,千张,洋葱,火锅底料,豆瓣酱,青花椒,花生米,葱花,白芝麻,香菜
  aquatic-白灼虾 | 白灼虾 | ★★ | 洋葱,姜,虾,料酒,葱,蒜,酱油,芝麻,香醋
  aquatic-糖醋鲤鱼 | 糖醋鲤鱼 | ★★★★ | 鱼,面粉,淀粉,鸡蛋,番茄酱,白醋
  aquatic-红烧鱼 | 红烧鱼 | ★★★★ | 鱼,姜,蒜,干辣椒,料酒,醋,白砂糖,酱油,小米椒,蚝油,香菜,葱花
  aquatic-红烧鱼头 | 红烧鱼头 | ★★★★ | 鱼头,葱,姜,蒜,香菜,美人椒,干辣椒,八角
  aquatic-红烧鲤鱼 | 红烧鲤鱼 | ★★★★ | 鱼,五花肉,葱,姜,蒜,干辣椒,料酒,陈醋,味极鲜,老抽,蚝油
  aquatic-肉蟹煲 | 肉蟹煲 | ★★★★ | 土豆,青椒,红椒,洋葱,年糕,螃蟹,淀粉,蒜,姜,干辣椒,冰糖,啤酒
  aquatic-芥末黄油罗氏虾 | 芥末黄油罗氏虾 | ★★★ | 罗氏虾,芥末,酱油,蚝油,香菜,蒜蓉,黄油,酒
  aquatic-葱油桂鱼 | 葱油桂鱼 | ★★★★ | 鱼,姜,小米辣,小葱,蒸鱼豉油,植物油
  aquatic-葱烧海参 | 葱烧海参 | ★★★ | 葱白,海参,蚝油,生抽,淀粉
  aquatic-蒜蓉虾 | 蒜蓉虾 | ★★ | 虾,蒜蓉酱,生抽
  aquatic-蒜香黄油虾 | 蒜香黄油虾 | ★★ | 大虾,大蒜,橄榄油,黄油,白葡萄酒,柠檬
  aquatic-蛏抱蛋 | 蛏抱蛋 | ★★★ | 蛏子,洋葱,生抽,料酒,鸡精,生粉,鸡蛋
  aquatic-酱炖蟹 | 酱炖蟹 | ★★★ | 螃蟹,菜油,姜,豆瓣酱,冰糖,葱,鸡蛋,肉末
  aquatic-香煎翘嘴鱼 | 香煎翘嘴鱼 | ★★★★ | 鱼,料酒,姜,豆瓣酱,蒜,生抽,老抽,青椒,葱,香菜
  aquatic-鲤鱼炖白菜 | 鲤鱼炖白菜 | ★★★ | 鲤鱼,娃娃菜,姜,蒜,郫县豆瓣酱,桂皮,八角,生抽,老抽
  aquatic-鳊鱼炖豆腐 | 鳊鱼炖豆腐 | ★★★ | 鳊鱼,老豆腐,姜,葱,蒜,干辣椒,香叶,八角,桂皮
  aquatic-黄油煎虾 | 黄油煎虾 | ★★★ | 鲜虾,生抽,米酒,白糖,食用油,黑胡椒,黄油

=== soup (22) ===
  soup-勾芡香菇汤 | 勾芡香菇汤 | ★★★ | 香菇,生粉,水,葱花
  soup-奶油蘑菇汤 | 奶油蘑菇汤 | ★ | 白蘑菇,洋葱,黄油,面粉,牛奶,淡奶油
  soup-小米粥 | 小米粥 | ★★ | 小米
  soup-排骨苦瓜汤 | 排骨苦瓜汤 | ★★★★ | 排骨,苦瓜,虾皮
  soup-昂刺鱼豆腐汤 | 昂刺鱼豆腐汤 | ★★★ | 鱼,豆腐,料酒,姜片,葱花
